,id,user,text,date,match,descortes,cortes,neutral
10,568,petrogustavo,"Banda criminal la de Vitalogic, ¿podrÍa desmentirme que el dueño de esa empresa que le quería dar millones de dólares a su hijo si era contratada por usted, no fué extraditado por lávado de dólares a Rumania? Eso si es una banda criminal RH https://t.co/ytH2u6G7Zs",Fri Jun 10 17:06:46 +0000 2022,['hijo'],0.37234997749328613,0.2627297043800354,0.36492031812667847
11,598,petrogustavo,"Con Harold, hijo de Genoveva y hermano de Kevin, quien fué asesinado.

Quiere ser bailarín profesional, difícil la competencia. https://t.co/cn0KF5Kxjh",Thu Jun 09 16:13:11 +0000 2022,['hijo'],0.38558146357536316,0.3963029086589813,0.21811559796333313
12,602,petrogustavo,"Me comprometo a iniciar una búsqueda a profundidad de la hija adoptiva de mi contrincante, al igual de los decenas de miles de desaparecidos que hoy tiene Colombia.

La desaparición  es la peor violación de Derechos Humanos en el país. https://t.co/zAwGU8qPI1",Thu Jun 09 12:50:38 +0000 2022,['hija'],0.3984570801258087,0.34445881843566895,0.2570841610431671
13,644,petrogustavo,"Costaron siglos las luchas de las mujeres para lograr derechos, no dejemos que Colombia retroceda quitándoselos.

El estado debe ser compañero de la madre, de la mujer que lucha por sus hijos, jamás un estado que le quite derechos a las mujeres.",Tue Jun 07 18:26:22 +0000 2022,['hijo'],0.49159809947013855,0.2650054395198822,0.24339646100997925
14,681,petrogustavo,"Ni yo, ni mis hijos , ni mi esposa tienen empresas fuera del país y menos en paraísos fiscales. He sido durante 30 años, el que ha denunciado los principales hechos de corrupción en Colombia. El cambio es para sacar los corruptos del poder. No los elija. https://t.co/AHn2bAD5G4",Mon Jun 06 15:19:06 +0000 2022,['hijo'],0.3387705385684967,0.25552353262901306,0.405705988407135
15,695,petrogustavo,La diferencia entre ayudar a los recicladores humildes o ayudar al hijo a ganarse 3 millones de dolares con un  contrato de aseo siendo alcalde. ¿Dónde está la corrupción? https://t.co/8W2pTdfxj0,Mon Jun 06 01:49:34 +0000 2022,['hijo'],0.316496342420578,0.34082266688346863,0.34268105030059814
16,725,petrogustavo,"Un gobierno amigo del pescador, que ayude a la esucaion de sus hijos, que lleve el SENA, que pueda pensionar al hombre y a la mujer por su trabajo. In gobierno amigo del agua y de la vida, eso es lo que propongo, esa es la paz.",Sat Jun 04 14:52:58 +0000 2022,['hijo'],0.12612098455429077,0.16204838454723358,0.7118306756019592
17,726,petrogustavo,"Miles de familias viven de la pesca en Colombia. Las avalanchas provocadas por la deforestación en los ríos, el plástico, la dinamita son los asesinos de la vida en el rio. Arnulfo apenas termino la primaria y sus hijas ya acaban la universidad. El rio ha sido su padre https://t.co/PRR5tln7xY",Sat Jun 04 14:52:55 +0000 2022,['hija'],0.4003862738609314,0.3615814447402954,0.23803231120109558
18,758,petrogustavo,"De algo pueden estar seguros. Mis hijos e hijas jamás aparecerán firmando conisiones en notaria por negocios que se hacen desde el estado, o volteando tierras para hacer zonas francas.

He buscado que su mayor fortaleza sea la educación y la libertad.
 https://t.co/xbemzTqDLe",Wed Jun 01 11:05:25 +0000 2022,"['hijo', 'hija']",0.18791091442108154,0.3172231614589691,0.49486589431762695
19,775,petrogustavo,"Gracias hijos e hijas por esta carta tan hermosa. 

https://t.co/aQ7rbLwvVt",Mon May 30 13:26:00 +0000 2022,"['hijo', 'hija']",0.25988009572029114,0.427371084690094,0.31274887919425964
20,803,petrogustavo,Con Kellyth Garces y su hijo Justin. Ella fue la persona que trabaja en aseo en Medellin y que fué acosada por un militante del uribismo solo por llevar propaganda del Cambio por la Vida https://t.co/teCdk6AMDd,Sun May 29 00:41:28 +0000 2022,['hijo'],0.2869044840335846,0.2960013747215271,0.4170941114425659
21,821,petrogustavo,Final de mi debate anoche. Con mi hija Sofía. https://t.co/6CqRu53Cir,Sat May 28 12:34:03 +0000 2022,['hija'],0.21057647466659546,0.5549472570419312,0.234476238489151
22,850,petrogustavo,Mi hija Andrea y mi nieta Victoria. https://t.co/CQ8Cl2MGcg,Fri May 27 00:14:08 +0000 2022,['hija'],0.29705238342285156,0.4139010012149811,0.28904658555984497
23,856,petrogustavo,Esto se llama cinismo. La Procuradora es la responsable de violar el voto en Medellín y por eso las consecuencias son las de desatar el odio incluso contra menores de edad: Las hijas del alcalde. https://t.co/68jc0AQiVp,Thu May 26 19:29:21 +0000 2022,['hija'],0.902525782585144,0.056658994406461716,0.04081527888774872
24,859,petrogustavo,"Que tal esta mentira de la otra campaña. Videos de hijas falsas contra Francia.
 https://t.co/2HgS6xzrit",Thu May 26 19:14:38 +0000 2022,['hija'],0.6620967388153076,0.164154514670372,0.17374876141548157
25,885,petrogustavo,Cuando valoras cuanto costaría el programa de ingreso solidario a madres cabeza de hogar con hijos en la primera infancia dices que son  5 millones de hogares y es un millón de hogares que valen 6 billones de pesos y ya el gobierno paga 1 billón. El gasto nuevo es de 5 billones.,Tue May 24 12:05:57 +0000 2022,['hijo'],0.4024960994720459,0.3055263161659241,0.2919776439666748
26,1134,petrogustavo,"El clan del Golfo es hijo del paramilitarismo que se creo en el Urabá a partir de las ""Convivir"" de Uribe.

Planteó un sometimiento colectivo a la Justicia que no aceptaron porque le tenían temor a que se rebelara las relaciones entre la política y el poder y el crimen.",Fri May 06 14:21:25 +0000 2022,['hijo'],0.3786211311817169,0.22350400686264038,0.3978748619556427
27,1139,petrogustavo,"El clan del golfo es el hijo del paramilitarismo que se creo en el Urabá con las convivir de Uribe

El clan hizo una propuesta de desmovilización que no fueron capaz de aceptar porque sabían que de ahí salía la verdad de la alianza de la politica y del poder con el crimen",Fri May 06 13:59:55 +0000 2022,['hijo'],0.3806796073913574,0.26839038729667664,0.35093003511428833
28,1377,petrogustavo,"Enorme evento de mujeres en Sincelejo.

Presentaremos las propuestas de vivienda popular por alianza público populares

Y la propuesta de ingreso vital para madres cabeza de familia con hijos en la primera infancia, 500.000 pesos mensuales. https://t.co/CXBvsnS4s3",Tue Apr 12 22:42:36 +0000 2022,['hijo'],0.2847371995449066,0.41831061244010925,0.2969522476196289
29,1381,petrogustavo,"¡Mi hija hermosa!

 https://t.co/7PbPEq6JvP a través de @YouTube",Tue Apr 12 00:32:54 +0000 2022,['hija'],0.21438588201999664,0.5790494680404663,0.20656463503837585
30,1430,petrogustavo,Mi hija hermosa. https://t.co/drmyuQhzzF,Thu Apr 07 02:08:56 +0000 2022,['hija'],0.3693552613258362,0.3544338643550873,0.2762109041213989
